bucket ID 	 bug ID 	 crash version 	 crashes 	 bug fixing changes 	 bug inducing changes
162705	200489	cb6bcdf0c6ce	511236|459914|420849|420676|419678	10890b0fac5fdca2feaecdc41cce4282d429b74a	e56ef8061b13|2a9b8edff274
62573	188871	cb6bcdf0c6ce	414603|414596|414055|414054|411581|409659|402760	b2f6144b66d2ff390c5f623953658111307e1f81	8c3c397c5a77|6884008a7fc2
164762	180046	cb6bcdf0c6ce	402352	b5c6a826029284fce8c205bd0f34554f77559735	8559551465d2
163040	190443	cb6bcdf0c6ce	423820	59418ef19bb66289ebaf5f2d0a746dd9553ee1df	e6a8f0bfef87
170762	187744	cb6bcdf0c6ce	402945	1ddc5337e2b1e97c73504064e922d72958dc4361	bb5436a892c1
169812	189236	cb6bcdf0c6ce	414501|414367	ef1413985609c9e2c36078eebc2c31ab761cb3b7	aa7139cc0c6f
171812	189295	cb6bcdf0c6ce	415182|415174|415020	3dd33ca013cdfc7e3365c5e6359898f2bb488224	b18dd8a577f3|c6d2c4023a00|f3c715801cbb
151402	177548	cb6bcdf0c6ce	417259	24509f436998c7af6c91d38e9e88ad6c0d5303ac|3c40170ec3ae6dba1b9cdcca95fcbefa752e0127	a0dd506e5684|da9ae5b7a4e9|9ebacdc7ab3f
172265	190041	cb6bcdf0c6ce	442051|418865|414363	2693ab3bc160161882811391c64447aded1825f0|a39b2899f195ea7e41aeb16181c784e524cc8505|4017ce92980ac3f5236be1e0efa5dfa4fe8c6f3e|4ca91a74ee805785c1788cbdf6660ad80b3f7835|e1e6dbb60405f291e7e4f3a354ef1481a8d9a34f	2116299eb6e2|0d0f2cff6ee4
171690	197015	cb6bcdf0c6ce	413777	420d8d7dab6cf874422c0444ff2528dd999d857e	57075ba05b26|42d594f985ce|a81789c6c2b5|f980a69e1d42|b4a1a8776fe3|2f634f7006dd|1b4a7852abcb
152176	166500	cb6bcdf0c6ce	504894|504359|501242|501111|411130	abb1af7936b33b8637a6635d470dcfb29b4fe980	089c4eae387a|d58c9315a741|1b8b4273743a
110377	188608	cb6bcdf0c6ce	414688	8b159b50275344603a3d2ca4d469f80f10ba82d6	0387766ff9f4|43fd4c9cc483|4b49ecfe055b
132903	152366	cb6bcdf0c6ce	416912|414915|413017|412953|411215|411211|410611|409171|406736	da39806fd875b0e12b5ea47a4c97a439c7a5ba16|a64aac5e66c95ec57f522ef4f212fc2886218c54	8559551465d2
195797	222898	cb6bcdf0c6ce	462592|462591|417703|412666|411799	24dbc0e712d9fab89f69c23d0919dcc3ea66649f	44728f9b507e|b80cd8d87227
171766	192042	cb6bcdf0c6ce	439217|429632|414429	bf61162aa6d398c05a2a8ee690880c4f3ade85c3	5258d82e59f6
149817	196338	cb6bcdf0c6ce	419815	4b509d02d00e088d0baa4508f27840c6115adccd	a547d79cd559|1adaafb34adf
170231	186861	cb6bcdf0c6ce	405842	d86b78db887358606d76595678ed3d384d5e7480	8559551465d2
173061	190845	cb6bcdf0c6ce	428668	9c88049532dd0df35f09bd86d36f3dace26d9690	bde99402b626
166848	258898	cb6bcdf0c6ce	413547	1dad921df7fc94c177b79f6448ba9da5de96558d	a77f8202ee51
165513	181009	cb6bcdf0c6ce	431319|428826|422412|419534|416903|414424|410881|410271|409753|408125|408100|407798|405432|405014|405013|404872|403658|403556|402423	b40b72f7e4a39f24b3366284f581dea2e8845444|1a64942768975398468cdcc165c19ae783833341	bd7abd41c366|262f99e8fc54|9909a2f2e55d|bffe51f90c52
170549	197257	cb6bcdf0c6ce	430611	2b31c40bd42f8c301b5948089b43a823943bf54c	c5ee47761780|72a65fdda80d|6c7bc0f62d48|2ac97bdd46db
168472	196617	cb6bcdf0c6ce	415233|415041|402261	e64085d3f6566e5de178e5b482f467c83d58355b	4f31df7b30bb|eaf43055f658
165431	185139	cb6bcdf0c6ce	413839|413050	c06f19d020e6ccaab36c978883e57276af15152b|035abf7e679d66310b366d819265bfa551ecf5f5	30acd598ff60|fc4a7af7418c|79e09a0d46d3
116703	202030	cb6bcdf0c6ce	415955	b9246aebc25790d040effa163b20d921115162a1	df4827c46a80|193c5ac09a81
171918	193499	cb6bcdf0c6ce	416232|416230	0cf64a2232a355e53163c8dce203e290b7421cea	44b34eeb3225
146440	224777	cb6bcdf0c6ce	412942	b0aa33fc25cfa53fff36bc3466c8cb7289bc0b1d	7e22a9fd89f9
171237	205030	cb6bcdf0c6ce	440409|408064	d74bfb166f8e4f469b31e1ae3d1b02b439f08899	c00f72b87f98|80d50cf18862|9840aff28031|425c36c8c36b|9a36bde0c978
171675	195897	cb6bcdf0c6ce	413600|413591	ef52d5eadad28c85451a5c2c56a1fba191c27635	dd9a79be3e48|1afe02fd0e2f
171674	192332	cb6bcdf0c6ce	413580	adf18990f6fdca8983c5c8938a656e4bfc51ccfe	6f410e8d6966|c65f9bcedd8c|50eb9c498951
151702	229127	cb6bcdf0c6ce	411330|405905|402906	73eecb7e3c50f9eec819a2226118d40257a6c54d|12f0f5bdf36219179c80cdd2976abb480bbf311b	5ee1dff77954|be1f70b531e4|613e74a06a11
171877	189389	cb6bcdf0c6ce	418775	7282943eca5c62d59bd3d34d7a286c98ca5d36eb	57075ba05b26|1ad0dd60229c|8c31110375c5|19113e399040
168108	194398	cb6bcdf0c6ce	495681|413134|411509|409423|406524|405538	b1e81fff3f9ba0274725fc52893ff0168eb5e7b1	8559551465d2
145505	157361	cb6bcdf0c6ce	527362|425576|414371|406564|404808|402360	fad23e53083ca0ca92438a70e7731973a9362219|78199517f170ec4bc60039cedccb0c29719b9e3f	78199517f170|63608ddca04e
160138	175092	cb6bcdf0c6ce	430097|429180|427666|419144|418225|416559|416399|416375|416372|416282|415951|415941|415922|415034|414734|414724|414457|414449|414366|414166|414081|414072|413911|413170|412842|412679|410929|410204|409781|406293|406185|405712|405148|405090|404934|404483|403565|403134|402669	964ad2c2ce6b28ebfa724f000d24fe0435f1bdb8	33e01910f0e5
